Base Image,Generated Image,Similarity Raw,Similarity (%)
5_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
9_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
3_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
7_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
8_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
2_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
6_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
10_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
1_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
4_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
0_fastMRI_brain_first_10_dcm_to_h5.h5.png,Not found,0,0
