Base Image,Generated Image,Similarity Raw,Similarity (%)
MOP02N-20180311-L2V19.9.2.he5.py.png,MOP02N-20180311-L2V19.9.2.png,0.9197,91.97
ATL10-02_20181227215113_13790101_006_02.h5.py.png,ATL10-02_20181227215113_13790101_006_02.png,0.727,72.7
ATL09_20181117090604_07600101_006_02.h5.py.png,ATL09_20181117090604_07600101_006_02.png,0.9455,94.55
TES-Aura_L3-CH4_r0000033028_C01_F01_12.he5.py.png,TES-Aura_L3-CH4_r0000033028_C01_F01_12.png,0.9807,98.07
TES-Aura_L2-O3-Nadir_r0000002433_F08_12.he5.py.png,TES-Aura_L2-O3-Nadir_r0000002433_F08_12.png,0.9477,94.77
1C.F19.SSMIS.XCAL2021-V.20160105-S214106-E232259.009078.V07A.HDF5.py.png,1C.F19.SSMIS.XCAL2021-V.20160105-S214106-E232259.009078.V07A.png,0.8869,88.69
GEOLST4KHR_201612291600_002_20210714015139.h5.py.png,GEOLST4KHR_201612291600_002_20210714015139.png,0.8959,89.59
SMAP_L1C_TB_50719_D_20240730T124417_R19240_001.h5.py.png,SMAP_L1C_TB_50719_D_20240730T124417_R19240_001.png,0.9738,97.38
SMAP_L3_SM_P_20200916_R19240_001.h5.py.png,SMAP_L3_SM_P_20200916_R19240_001.png,0.911,91.1
GLAH10_633_2131_001_1317_0_01_0001.H5.py.png,GLAH10_633_2131_001_1317_0_01_0001.png,0.8999,89.99
2A.GPM.DPR.V9-20211125.20170704-S001905-E015140.019017.V07A.HDF5.py.png,2A.GPM.DPR.V9-20211125.20170704-S001905-E015140.019017.V07A.png,0.9193,91.93
oco2_L2StdND_03949a_150330_B8100r_170916014809.h5.py.png,oco2_L2StdND_03949a_150330_B8100r_170916014809.png,0.9358,93.58
MLS-Aura_L2GP-BrO_v04-23-c03_2016d302.he5.py.png,MLS-Aura_L2GP-BrO_v04-23-c03_2016d302.png,0.9461,94.61
ATL22_20210712003905_02811201_003_01.h5.py.png,ATL22_20210712003905_02811201_003_01.png,0.9303,93.03
1A.GPM.GMI.COUNT2021.20160105-S230545-E003816.010538.V07A.HDF5.py.png,1A.GPM.GMI.COUNT2021.20160105-S230545-E003816.010538.V07A.png,0.9281,92.81
DeepBlue-SeaWiFS_L2_20101210T135954Z_v004-20130525T172725Z.h5.py.png,DeepBlue-SeaWiFS_L2_20101210T135954Z_v004-20130525T172725Z.png,0.7117,71.17
DeepBlue-SeaWiFS-1.0_L3_20100101_v004-20130604T131317Z.h5.py.png,DeepBlue-SeaWiFS-1.0_L3_20100101_v004-20130604T131317Z.png,0.9454,94.54
ATL13_20190330212241_00250301_006_01.h5.py.png,ATL13_20190330212241_00250301_006_01.png,0.9177,91.77
SMAP_L1A_RADIOMETER_30031_A_20200914T223611_R17000_001.h5.py.png,SMAP_L1A_RADIOMETER_30031_A_20200914T223611_R17000_001.png,0.7783,77.83
SMAP_L2_SM_P_30058_D_20200916T194350_R19240_001.h5.py.png,SMAP_L2_SM_P_30058_D_20200916T194350_R19240_001.png,0.9415,94.15
acos_L2s_110101_02_Production_v201201_L2Sub7309_r01_PolB_161206183303.h5.py.png,acos_L2s_110101_02_Production_v201201_L2Sub7309_r01_PolB_161206183303.png,0.7847,78.47
SMAP_L4_SM_gph_20200915T193000_Vv7032_001.h5.py.png,SMAP_L4_SM_gph_20200915T193000_Vv7032_001.png,0.9164,91.64
GLAH13_633_2103_001_1317_0_01_0001.h5.py.png,GLAH13_633_2103_001_1317_0_01_0001.png,0.8668,86.68
