script_name,status,stderr,png_files,half_name,note
1A.GPM.GMI.COUNT2021.20160105-S230545-E003816.010538.V07A.HDF5_0,Pass,None,,1A.GPM.GMI.COUNT2021.20160105-S2,
1B.GPM.GMI.TB2021.20160105-S230545-E003816.010538.V07A.HDF5_0,Fail,Traceback (most recent call last):,,,
1B.GPM.GMI.TB2021.20160105-S230545-E003816.010538.V07A.HDF5_1,Fail,Traceback (most recent call last):,,,
1B.GPM.GMI.TB2021.20160105-S230545-E003816.010538.V07A.HDF5_2,Fail,Traceback (most recent call last):,,,
1B.GPM.GMI.TB2021.20160105-S230545-E003816.010538.V07A.HDF5_3,Fail,Traceback (most recent call last):,,,
1B.GPM.GMI.TB2021.20160105-S230545-E003816.010538.V07A.HDF5_4,Fail,Traceback (most recent call last):,,,
1B.GPM.GMI.TB2021.20160105-S230545-E003816.010538.V07A.HDF5_5,Fail,Traceback (most recent call last):,,,
1B.GPM.GMI.TB2021.20160105-S230545-E003816.010538.V07A.HDF5_6,Fail,Traceback (most recent call last):,,,
1C.F19.SSMIS.XCAL2021-V.20160105-S214106-E232259.009078.V07A.HDF5_0,Pass,None,,1C.F19.SSMIS.XCAL2021-V.20160105-,
2A.GPM.DPR.V9-20211125.20170704-S001905-E015140.019017.V07A.HDF5_0,Pass,None,,2A.GPM.DPR.V9-20211125.20170704-S,
3A-MO.GPM.GMI.GRID2021R1.20140701-S000000-E235959.07.V07A.HDF5_0,Fail,Traceback (most recent call last):,,,
3A-MO.GPM.GMI.GRID2021R1.20140701-S000000-E235959.07.V07A.HDF5_1,Fail,Traceback (most recent call last):,,ATL04_20181117090604,
3A-MO.GPM.GMI.GRID2021R1.20140701-S000000-E235959.07.V07A.HDF5_2,Fail,Traceback (most recent call last):,,,
3A-MO.GPM.GMI.GRID2021R1.20140701-S000000-E235959.07.V07A.HDF5_3,Fail,Traceback (most recent call last):,,,
3A-MO.GPM.GMI.GRID2021R1.20140701-S000000-E235959.07.V07A.HDF5_4,Fail,Traceback (most recent call last):,,,
3A-MO.GPM.GMI.GRID2021R1.20140701-S000000-E235959.07.V07A.HDF5_5,Fail,Traceback (most recent call last):,,,
3A-MO.GPM.GMI.GRID2021R1.20140701-S000000-E235959.07.V07A.HDF5_6,Fail,Traceback (most recent call last):,,,
AG100.v003.64.-089.0001.h5_0,Fail,Traceback (most recent call last):,,,
AG100.v003.64.-089.0001.h5_1,Fail,Traceback (most recent call last):,,,
AG100.v003.64.-089.0001.h5_2,Fail,Traceback (most recent call last):,,,
AG100.v003.64.-089.0001.h5_3,Fail,Traceback (most recent call last):,,,
AG100.v003.64.-089.0001.h5_4,Fail,Traceback (most recent call last):,,,
AG100.v003.64.-089.0001.h5_5,Fail,Traceback (most recent call last):,,,
AG100.v003.64.-089.0001.h5_6,Fail,Traceback (most recent call last):,,,
AMSR_E_L2_Land_V11_201110031920_D.he5_0,Fail,Traceback (most recent call last):,,,
AMSR_E_L2_Land_V11_201110031920_D.he5_1,Fail,Traceback (most recent call last):,,,
AMSR_E_L2_Land_V11_201110031920_D.he5_2,Fail,Traceback (most recent call last):,,,
AMSR_E_L2_Land_V11_201110031920_D.he5_3,Fail,Traceback (most recent call last):,,,
AMSR_E_L2_Land_V11_201110031920_D.he5_4,Fail,Traceback (most recent call last):,,,
AMSR_E_L2_Land_V11_201110031920_D.he5_5,Fail,Traceback (most recent call last):,,,
AMSR_E_L2_Land_V11_201110031920_D.he5_6,Fail,Traceback (most recent call last):,,,
AMSR_U2_L3_SeaIce25km_B01_20181008.he5_0,Fail,Traceback (most recent call last):,,,
AMSR_U2_L3_SeaIce25km_B01_20181008.he5_1,Fail,Traceback (most recent call last):,,,
AMSR_U2_L3_SeaIce25km_B01_20181008.he5_2,Fail,Traceback (most recent call last):,,,
AMSR_U2_L3_SeaIce25km_B01_20181008.he5_3,Fail,Traceback (most recent call last):,,,
AMSR_U2_L3_SeaIce25km_B01_20181008.he5_4,Fail,Traceback (most recent call last):,,,
AMSR_U2_L3_SeaIce25km_B01_20181008.he5_5,Fail,Traceback (most recent call last):,,,
AMSR_U2_L3_SeaIce25km_B01_20181008.he5_6,Fail,Traceback (most recent call last):,,,
ATL02_20190520193327_08020311_006_01.h5_0,Fail,Traceback (most recent call last):,,,
ATL02_20190520193327_08020311_006_01.h5_1,Fail,Traceback (most recent call last):,,,
ATL02_20190520193327_08020311_006_01.h5_2,Fail,Traceback (most recent call last):,,,
ATL02_20190520193327_08020311_006_01.h5_3,Fail,Traceback (most recent call last):,,MOP03T-20131129,
ATL02_20190520193327_08020311_006_01.h5_4,Fail,Traceback (most recent call last):,,,
ATL02_20190520193327_08020311_006_01.h5_5,Fail,Traceback (most recent call last):,,,
ATL02_20190520193327_08020311_006_01.h5_6,Fail,Traceback (most recent call last):,,,
ATL03_20181027235521_04480111_006_02.h5_0,Fail,Traceback (most recent call last):,,,
